,id,lat,lon,name,capacity,Distrito
151,1559099592,37.3837457,-5.9148102, Estaca de Vares,17,3
152,1589903069,37.4215199,-5.9715297, Calle Corral del Agua,20,3
153,1697713484,37.4247213,-5.9699087, Calle Estrella Canopus,20,3
154,1697728692,37.4185712,-5.9732617, Calle Parque de Doñana,20,4
155,1750991853,37.3851694,-6.0036808, Plaza del Altozano,14,2
156,1751007318,37.3833998,-6.0082126, Plaza del Zurraque,18,4
157,1751007333,37.3869518,-6.0076608, Calle Procurador,20,4
158,1800201559,37.3688783,-5.9813853, Avenida Cardenal Bueno Monreal,20,4
159,1811037464,37.3860346,-5.9100839, Miguel Montoro,30,4
160,1811037465,37.3859534,-5.9137797, Pero Mingo,30,3
161,1883917292,37.3841827,-5.9798343, Avenida Eduardo Dato,20,2
162,1883917305,37.3842949,-5.9824304, Avenida Eduardo Dato,20,3
163,1905508092,37.3937233,-5.9818532, Calle Arroyo,20,4
164,1925647394,37.3647499,-5.9814522, Calle Tabladilla,20,3
165,1942572125,37.3961269,-5.9588167, Calle Tesalónica,20,2
166,1958105615,37.3938599,-5.9623474, Calle de la A.D.A,15,4
167,1960312763,37.3807308,-6.0092094, Plaza San Martín de Porres,15,4
168,1968379213,37.3730403,-5.9691616, Avenida Alcalde Juan Fernández,17,4
169,2059734836,37.3801273,-5.9971188, Plaza de Cuba,20,1
170,2199781233,37.3687499,-5.9572158, Avenida Hytasa,15,3
171,2199781316,37.3723655,-5.9632292, Avenida Hytasa,20,2
172,2263176519,37.3846992,-5.9725875, Calle Luis Morales,30,2
173,2263176520,37.382817,-5.9735307, Avenida Eduardo Dato,15,3
174,2316134212,37.3806956,-5.9869575, Ciudad de Ronda,20,3
175,2362825420,37.3813994,-5.9867247, Prado de San Sebastián,40,4
176,2409134453,37.3957014,-5.9737119, CALLE SAMANIEGO,20,4
177,2414365404,37.3636194,-5.9847852, Calle Paez de Rivera,20,2
178,2414366811,37.3740394,-6.0041982, Avenida Santa Fe,20,1
179,2414370957,37.3747704,-5.9985362, Calle Virgen de Luján,24,1
180,2414376127,37.3745382,-5.9947455, Calle Virgen de Luján,17,2
181,2414378485,37.3731194,-5.9976102, Calle Asunción,20,4
182,2414386515,37.3736779,-5.9854767, Avenida de la Borbolla,20,1
183,2414393131,37.3760219,-5.9790768, Calle Ramón Carande,20,2
184,2414394473,37.3750412,-5.9757977, Avenida Diego Martínez Barrio,15,3
185,2414396532,37.3723704,-5.9773621, Calle Felipe II,16,1
186,2414399021,37.371606,-5.9818494, Calle Felipe II,20,3
187,2414400806,37.3716758,-5.9975514, Calle Ramón de Carranza,18,4
188,2414401888,37.3715555,-6.0032632, Calle Ramón de Carranza,18,2
189,2414402577,37.369057,-5.9879693, Avenida de la Palmera,20,2
190,2414405508,37.3602332,-5.9863182, Avenida Reina Mercedes,20,1
191,2414405509,37.3601006,-5.986313, Avenida Reina Mercedes,20,4
192,2414408207,37.3986121,-5.973625, Calle Tharsis,20,4
193,2414409325,37.3978221,-5.9760843, Calle Arroyo,20,1
194,2414415016,37.3967485,-5.9786342, Calle San Juan Bosco,20,1
195,2420239421,37.4004879,-5.9983869, Calle San Vicente,20,1
196,2420239422,37.3987216,-5.9895023, Plaza Cronista,15,2
197,2420239423,37.3712795,-5.9891934, Avenida de la Palmera,18,1
198,2420239424,37.3912974,-5.9881754, Calle Alhóndiga,14,3
199,2420239425,37.3907943,-5.982764, Calle Amador de los Ríos,20,4
